"”NŒŽ“ú","—j","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
#2019-02-07#,"–Ø",,,,,,,,,,,,"‘åŒ^",,"‘åŒ^","‘åŒ^",,,,,
#2019-02-08#,"‹à",,"‘åŒ^",,"‘åŒ^",,,,,,,,,,,,,,,,
#2019-02-09#,"“y",,,,,,,,,,,,,,,,,,,,
#2019-02-10#,"“ú",,,,,,,,,,,,,,,,,,,,
#2019-02-11#,"ŒŽ",,,,,,,,,,,,,,,,,,,,
#2019-02-12#,"‰Î",,,"‘åŒ^",,,"‘åŒ^",,,,,,,,,,,,,,
#2019-02-13#,"…","‘åŒ^",,,,,,,,"‘åŒ^","‘åŒ^",,,,,,"‘åŒ^",,,,
#2019-02-14#,"–Ø",,,,,,,,,,,"‘åŒ^",,,,,,,,,
#2019-02-15#,"‹à",,,,,"‘åŒ^",,,,,,,,,,,,,,,
#2019-02-16#,"“y",,,,,,,,,,,,,,,,,,,,
#2019-02-17#,"“ú",,,,,,,,,,,,,,,,,,,,
#2019-02-18#,"ŒŽ",,,,,,,,,,,,,"‘åŒ^",,,,,,"‘åŒ^",
#2019-02-19#,"‰Î",,,,,,,"‘åŒ^","‘åŒ^",,,,,,,,,,,,
#2019-02-20#,"…",,,,,,,,,,,,,,,,,"‘åŒ^","‘åŒ^",,
#2019-02-21#,"–Ø",,,,,,,,,,,,"‘åŒ^",,"‘åŒ^",,,,,,
#2019-02-22#,"‹à",,"‘åŒ^",,"‘åŒ^",,,,,,,,,,,,,,,,
#2019-02-23#,"“y",,,,,,,,,,,,,,,,,,,,
#2019-02-24#,"“ú",,,,,,,,,,,,,,,,,,,,
#2019-02-25#,"ŒŽ",,,,,,,,,,,,,,,"‘åŒ^",,,,,"‘åŒ^"
#2019-02-26#,"‰Î",,,"‘åŒ^",,,"‘åŒ^",,,,,,,,,,,,,,
#2019-02-27#,"…","‘åŒ^",,,,,,,,"‘åŒ^","‘åŒ^",,,,,,"‘åŒ^",,,,
#2019-02-28#,"–Ø",,,,,,,,,,,"‘åŒ^",,,,,,,,,
#2019-03-01#,"‹à",,,,,"‘åŒ^",,,,,,,,,,,,,,,
#2019-03-02#,"“y",,,,,,,,,,,,,,,,,,,,
#2019-03-03#,"“ú",,,,,,,,,,,,,,,,,,,,
#2019-03-04#,"ŒŽ",,,,,,,,,,,,,"‘åŒ^",,,,,,"‘åŒ^",
#2019-03-05#,"‰Î",,,,,,,"‘åŒ^","‘åŒ^",,,,,,,,,,,,
#2019-03-06#,"…",,,,,,,,,,,,,,,,,"‘åŒ^","‘åŒ^",,
#2019-03-07#,"–Ø",,,,,,,,,,,,"‘åŒ^",,"‘åŒ^",,,,,,
#2019-03-08#,"‹à",,"‘åŒ^",,"‘åŒ^",,,,,,,,,,,,,,,,
#2019-03-09#,"“y",,,,,,,,,,,,,,,,,,,,
#2019-03-10#,"“ú",,,,,,,,,,,,,,,,,,,,
#2019-03-11#,"ŒŽ",,,,,,,,,,,,,,,"‘åŒ^",,,,,"‘åŒ^"
#2019-03-12#,"‰Î",,,"‘åŒ^",,,"‘åŒ^",,,,,,,,,,,,,,
#2019-03-13#,"…","‘åŒ^",,,,,,,,"‘åŒ^","‘åŒ^",,,,,,"‘åŒ^",,,,
#2019-03-14#,"–Ø",,,,,,,,,,,"‘åŒ^",,,,,,,,,
#2019-03-15#,"‹à",,,,,"‘åŒ^",,,,,,,,,,,,,,,
#2019-03-16#,"“y",,,,,,,,,,,,,,,,,,,,
#2019-03-17#,"“ú",,,,,,,,,,,,,,,,,,,,
#2019-03-18#,"ŒŽ",,,,,,,,,,,,,"‘åŒ^","‘åŒ^",,,,,"‘åŒ^",
#2019-03-19#,"‰Î",,,,,,,"‘åŒ^","‘åŒ^",,,,,,,,,,,,
#2019-03-20#,"…",,,,,,,,,,,,,,,,,"‘åŒ^","‘åŒ^",,
#2019-03-21#,"–Ø",,,,,,,,,,,,,,,,,,,,
#2019-03-22#,"‹à",,"‘åŒ^",,"‘åŒ^",,,,,,,,,,,,,,,,
#2019-03-23#,"“y",,,,,,,,,,,,,,,,,,,,
#2019-03-24#,"“ú",,,,,,,,,,,,,,,,,,,,
#2019-03-25#,"ŒŽ",,,,,,,,,,,,"‘åŒ^",,,"‘åŒ^",,,,,"‘åŒ^"
#2019-03-26#,"‰Î",,,"‘åŒ^",,,"‘åŒ^",,,,,,,,,,,,,,
#2019-03-27#,"…","‘åŒ^",,,,,,,,"‘åŒ^","‘åŒ^",,,,,,"‘åŒ^",,,,
#2019-03-28#,"–Ø",,,,,,,,,,,"‘åŒ^",,,,,,,,,
#2019-03-29#,"‹à",,,,,,,,,,,,,,,,,,,,
#2019-03-30#,"“y",,,,,,,,,,,,,,,,,,,,
#2019-03-31#,"“ú",,,,,,,,,,,,,,,,,,,,
